"storyTitle","issueNum","publicationDate","principleCharacters","creators","description","value","publisher","series","volumeNum","grade","slabbed","signatures","authenticated"
"The Chameleon Sanction, The Chameleon Sanction Part 1 Of 2","20","May 08, 2013","","Christopher Yost | Marco Checchetto","Paolo Manuel Rivera Regular Cover","0.0","Marvel Comics","Avenging Spider-Man","0","","","",""
"The Chameleon Sanction, The Chameleon Sanction Part 2 Of 2","21","May 29, 2013","","Christopher Yost | Marco Checchetto","Paolo Manuel Rivera Regular Cover","0.0","Marvel Comics","Avenging Spider-Man","0","","","",""
"AvX - Magneto Master Of Magnetism Vs. The Invincible Iron Man / The Thing Vs. Namor The Sub-Mariner","1A","Apr 25, 2012","","Jason Aaron | Kathryn Immonen | Adam Kubert","Regular Adam Kubert Cover","0.0","Marvel Comics","AvX vs.","0","","","",""
"AvX - Captain America Vs. Gambit / The Amazing Spider-Man Vs. Colossus","2A","May 16, 2012","","Steve McNiven | Kieron Gillen | Salvador Larroca","Regular Salvador Larroca Cover","0.0","Marvel Comics","AvX vs.","0","","","",""
"AvX - The Thing Vs. Colossus / Black Widow Vs. Magik","3A","Jun 13, 2012","","Jeph Loeb | Christopher Yost | Terry Dodson","Regular Ed McGuinness Cover","0.0","Marvel Comics","AvX vs.","0","","","",""
"AvX - Daredevil Vs. Psylocke / The Mighty Thor Vs. Emma Frost","4A","Jul 11, 2012","","Rick Remender | Kaare Andrews | Brandon Peterson","Regular Brandon Peterson Cover","0.0","Marvel Comics","AvX vs.","0","","","",""
"AvX - Hawkeye Vs. Angel / Black Panther Vs. Storm","5A","Aug 29, 2012","","Matt Fraction | Jason Aaron | Tom Raney","Regular Leinil Francis Yu Cover","0.0","Marvel Comics","AvX vs.","0","","","",""
"AvX - Scarlet Witch Vs. Hope","6A","Oct 03, 2012","","Jeph Loeb | Dan Slott | Kieron Gillen","Regular Jim Cheung Cover","0.0","Marvel Comics","AvX vs.","0","","","",""
"AvX ","1A","Oct 10, 2012","","Kieron Gillen | Tom Raney","Regular Patrick Zircher Cover","0.0","Marvel Comics","AvX: Consequences","0","","","",""
"AvX ","2A","Oct 17, 2012","","Kieron Gillen | Steve Kurth | Allen Martinez","Regular Ron Garney Cover","0.0","Marvel Comics","AvX: Consequences","0","","","",""
"AvX ","3A","Oct 24, 2012","","Kieron Gillen | Scot Eaton | Andrew Hennessey","Regular Ron Garney Cover","0.0","Marvel Comics","AvX: Consequences","0","","","",""
"AvX ","4A","Oct 31, 2012","","Kieron Gillen | Mark Brooks | Andrew Hennessey","Regular Salvador Larroca Cover","0.0","Marvel Comics","AvX: Consequences","0","","","",""
"AvX ","5A","Nov 07, 2012","","Kieron Gillen | Gabriel Hernandez Walta","Regular Salvador Larroca Cover","0.0","Marvel Comics","AvX: Consequences","0","","","",""
"Axis - ""With Great Hate"" / ""Hoary Hosts of Hate""","1","Oct 29, 2014","","Simon Spurrier | Dennis Hopeless | Ken Lashley","","0.0","Marvel Comics","Axis Revolutions","0","","","",""
"Axis ","1","Oct 29, 2014","","Rick Spears | German Peralta","1st Printing","0.0","Marvel Comics","Axis: Carnage","0","","","",""
"Axis - Got A Problem? Call Hobgoblin!","1","Oct 22, 2014","","Kevin Shinick | Javier Rodriguez | Álvaro López","1st Printing","0.0","Marvel Comics","Axis: Hobgoblin","0","","","",""
"Fallen Angel, Part 1: Some Say In Fire...","1","Dec 1994","","Denny O'Neil | Barry Kitson | James Dean Pascoe","","0.0","DC Comics","Azrael, Vol. 1","0","","","",""
"No Man's Land - Evacuation","60","Nov 1999","","Denny O'Neil | Roger Robinson | James Dean Pascoe","","0.0","DC Comics","Azrael, Vol. 1","0","","","",""
"No Man's Land - Presents Of Mind","61","Dec 1999","","Denny O'Neil | Roger Robinson | James Dean Pascoe","","0.0","DC Comics","Azrael, Vol. 1","0","","","",""
"Hard Time, Part Two","20A","Jun 14, 2017","","Bob Gale | John Barber | Marcelo Ferreira","Marcelo Ferreira Regular Cover","0.0","IDW Publishing","Back To The Future (IDW Publishing)","0","","","",""
"Wildstorm Rising - Part 8","8A","May 1995","","Ron Marz | Brett Booth | Alex Garner","","0.0","Image Comics","Backlash","0","","","",""
"Ain't I'm A Dog","2","Oct 1989","","Mike Baron | Paul Chadwick | Mike Zeck","","0.0","First Comics","Badger Goes Beserk","0","","","",""
"Skin I'm In","3","Nov 1989","","Mike Baron | Mike Zeck | Mark A. Nelson","","0.0","First Comics","Badger Goes Beserk","0","","","",""
"All Together Now","4","Dec 1989","","Mike Baron | Walter Simonson | Mike Zeck","","0.0","First Comics","Badger Goes Beserk","0","","","",""
"Behind The Black Door, Part 1","53","Nov 1989","","Roger Salick | Timothy B. Vigil | Denis Rodier","","0.0","First Comics","Badger, Vol. 1","0","","","",""
"Jumprope To The Stars","56","Feb 1990","","Mike Baron | Spyder | Gary Kwapisz","","0.0","First Comics","Badger, Vol. 1","0","","","",""
"Scissors, Paper, Stone","60","Jun 1990","","Mike Baron | Steve Butler | Randy Clark","","0.0","First Comics","Badger, Vol. 1","0","","","",""
"A Bunch Of Stooges","61","Jul 1990","","Mike Baron | Steve Butler | Randy Clark","","0.0","First Comics","Badger, Vol. 1","0","","","",""
"The Sword, Part One","1A","May 03, 2017","","Chuck Dixon | Graham Nolan","Regular Graham Nolan & Gregory Wright Cover","0.0","DC Comics","Bane: Conquest","0","","","",""
"The Sword, Part Two","2","Jun 07, 2017","","Chuck Dixon | Graham Nolan","Nolan & Wright Cover","0.0","DC Comics","Bane: Conquest","0","","","",""
"Devil In The Dark","1","Apr 1994","","John Arcudi | Lee Moder | Ande Parks","","0.0","Dark Horse Comics","Barb Wire","0","","","",""
"Who Is Oracle?, Dead Of Night","1B","Aug 17, 2016","","Julie Benson | Shawna Benson | Claire Roe","","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Who Is Oracle?, Learn To Fly","2A","Sep 14, 2016","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Who Is Oracle?, All Your Life","3A","Oct 12, 2016","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Who Is Oracle?, Waiting For This Moment","4A","Nov 09, 2016","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Who Is Oracle?, Into The Light","5A","Dec 14, 2016","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Who Is Oracle?, Finale: Arise","6A","Jan 11, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Yanick Paquette Regular Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Soldiers of Fortune","7A","Feb 08, 2017","","Julie Benson | Shawna Benson | Claire Roe","Regular Yanick Paquette & Nathan Fairbairn Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Blackbird, Part 1: Blackbird Sings","8A","Mar 08, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette & Nathan Fairbairn Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Blackbird, Part 2: Blackbird Fly","9A","Apr 12, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Blackbird, Part 3: Blackbird Rise","10A","May 10, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Paquette & Fairbairn Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Source Code, Part 1: Miscalculation","11A","Jun 14, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Yanick Paquette Regular Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Source Code, Part 2: Vial Not Found","12A","Jul 12, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Yanick Paquette Regular Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Source Code, Part 3: Debugged","13A","Aug 09, 2017","","Julie Benson | Shawna Benson | Breno Tamura","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Gotham City Limits","14A","Sep 13, 2017","","Julie Benson | Shawna Benson | Marcio Takara","Yanick Paquette Regular Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Manslaughter, Part 1: Quarantine","15A","Oct 11, 2017","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Manslaughter, Part 2: Crisis Mode","16A","Nov 08, 2017","","Julie Benson | Shawna Benson | Roge Antonia","Paquette & Fairbairn Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Manslaughter, Finale: Patient Zone","17A","Dec 13, 2017","","Julie Benson | Shawna Benson | Roge Antonia","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Eco-Deadly","18A","Jan 10, 2018","","Julie Benson | Shawna Benson | Marcio Takara","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Full Circle, Part One","19A","Feb 14, 2018","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Terry Dodson & Rachel Dodson Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Full Circle, Part 2: Guilt-Stricken","20A","Mar 14, 2018","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Terry Dodson & Rachel Dodson Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Full Circle, Part 3: War Cry","21A","Apr 11, 2018","","Julie Benson | Shawna Benson | Rogê Antônio","Regular Terry Dodson & Rachel Dodson Cover","0.0","DC Comics","Batgirl And The Birds Of Prey","0","","","",""
"Rebirth","1A","Jul 20, 2016","","Julie Benson | Shawna Benson | Claire Roe","Regular Yanick Paquette Cover","0.0","DC Comics","Batgirl And The Birds Of Prey: Rebirth","0","","","",""
"World's Finest / Rain Check","1","Mar 29, 2017","","Hope Larson | Vita Ayala | Inaki Miranda","","0.0","DC Comics","Batgirl Annual 2017","0","","","",""
"The Brightest Star In Heaven","2","Aug 29, 2018","","Mairghread Scott | Elena Casagrande","","0.0","DC Comics","Batgirl Annual 2017","0","","","",""
"You Can Take Off The Blindfolds Now","1","Feb 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"I Hope To God You Never Have To Read This","2","Mar 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Hard To Remember Now...How Tonight Started Out","3","Apr 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"She Was Perfect","4","May 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Coming To...","5","Jun 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"You're Trying To Take Her Away From Me","6","Jul 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"This Sucks","7","Aug 2000","","Kelley Puckett | Scott Peterson | Damion Scott","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Okay, So She's Fast","8","Sep 2000","","Kelley Puckett | Damion Scott | Robert Campanella","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"He Doesn't Have To Say A Word...","9","Oct 2000","","Kelley Puckett | Damion Scott | Robert Campanella","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Nothing's Changed","10","Jan 2001","","Kelley Puckett | Damion Scott | Robert Campanella","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"First Things First","11","Dec 2000","","Kelley Puckett | Damion Scott | Coy Turnbull","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Officer Down - Mute Witness","12","Jan 2001","","Chuck Dixon | Dale Eaglesham | Andrew Hennessey","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Thicker Than Water","37","Feb 2003","","Kelley Puckett | Damion Scott | Robert Campanella","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Testline","38","Mar 2003","","Andersen Gabrych | Jeff Parker | Robert Campanella","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"Black Wind","39","Apr 2003","","Dylan Horrocks | Adrian Sibar | Andy Owens","","0.0","DC Comics","Batgirl, Vol. 1","0","","","",""
"A Fire In The Heavens","0","Sep 12, 2012","","Gail Simone | Ed Benes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Shattered","1C","Sep 07, 2011","","Gail Simone | Ardian Syaf | Vicente Cifuentes","3rd Printing","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Cut Short, Cut Deep","2","Oct 12, 2011","","Gail Simone | Ardian Syaf | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A Breath Of Broken Glass","3","Nov 09, 2011","","Gail Simone | Ardian Syaf | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"An End To Dreams","4","Dec 14, 2011","","Gail Simone | Ardian Syaf | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A Candy Full Of Spiders","5","Jan 11, 2012","","Gail Simone | Vicente Cifuentes | Ardian Syaf","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A House Made Of Spun Glass","6","Feb 08, 2012","","Gail Simone | Ardian Syaf | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A View From Below","7","Mar 14, 2012","","Gail Simone | Alitha Martinez | Ardian Syaf","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"No Darker Shadow","8","Apr 11, 2012","","Gail Simone | Alitha Martinez | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Night of the Owls - In The Line Of Fire","9","May 09, 2012","","Gail Simone | Ardian Syaf | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Death of the Family - Prologue: A Blade Of Memory","13A","Oct 10, 2012","","Gail Simone | Ed Benes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Death of the Family - Collision, A Courtship Of Razors","14A","Nov 14, 2012","","Gail Simone | Ed Benes | Daniel Sampere","Ed Benes Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Death of the Family - Collision, Part Two: Engagement","15","Dec 12, 2012","","Gail Simone | Daniel Sampere | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Death of the Family - Collision, Part Three: Ceremony","16","Jan 16, 2013","","Gail Simone | Ed Benes | Daniel Sampere","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Endure The Flame","17","Feb 13, 2013","","Ray Fawkes | Daniel Sampere | Vicente Cifuentes","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"The Mask Of Ashes","18","Mar 13, 2013","","Ray Fawkes | Daniel Sampere | Marc Deering","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A Blade From The Shadows","19","Apr 10, 2013","","Gail Simone | Daniel Sampere | Marc Deering","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A Splinter Where My Heart Should Be","20","May 15, 2013","","Gail Simone | Carlos Rodriguez | Daniel Sampere","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A Day In The Life Of Endless Velocity","22","Jul 10, 2013","","Gail Simone | Fernando Pasarin | Jonathan Glapion","Alex Garner Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Batgirl: Wanted - Batgirl: Wanted, Manhunt","23","Aug 14, 2013","","Gail Simone | Fernando Pasarin | Jonathan Glapion","Alex Garner Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Batgirl: Wanted - Batgirl: Wanted, Part Two: Dragnet","24","Oct 09, 2013","","Gail Simone | Fernando Pasarin | Jonathan Glapion","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Zero Year - Homestead","25","Nov 13, 2013","","Marguerite Bennett | Fernando Pasarin | Jonathan Glapion","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Batgirl: Wanted - Batgirl Wanted, Part Three: Ambush","26","Dec 11, 2013","","Gail Simone | Daniel Sempere | Jonathan Glapion","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Gothtopia - A Healing Curse","27A","Jan 15, 2014","","Gail Simone | Robert Gill","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"A Conspiracy Of Bats","29A","Mar 12, 2014","","Gail Simone | Fernando Pasarin | Jonathan Glapion","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"The Midnight Man!","30A","Apr 09, 2014","","Marguerite Bennett | Robert Gill","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Deadline","32A","Jun 11, 2014","","Gail Simone | Fernando Pasarin | Jonathan Glapion","Alex Garner Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Deadline","32B","Jun 11, 2014","","Gail Simone | Fernando Pasarin | Jonathan Glapion","Bombshells Variant Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Enemies and Allies","33A","Jul 09, 2014","","Gail Simone | Fernando Pasarin | Matt Ryan","Alex Garner Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Burned","35A","Oct 08, 2014","","Brenden Fletcher | Cameron Stewart | Babs Tarr","Cameron Stewart Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Burned","35B","Oct 08, 2014","","Brenden Fletcher | Cameron Stewart | Babs Tarr","Monsters of the Month Variant Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Tomorrow Cries Danger","36A","Nov 12, 2014","","Brenden Fletcher | Cameron Stewart | Babs Tarr","Regular Cover - Cameron Stewart","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Double Exposure","37A","Dec 10, 2014","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Likeable","38A","Jan 14, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","Cameron Stewart Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Likeable","38C","Jan 14, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","Blank Variant Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Batgirl Vs. Burnside","39A","Feb 11, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Ghost In The Cowl","40A","Mar 11, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Interference","41","Jun 24, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","Cameron Stewart Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Surge Protection","42","Jul 29, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Tooth and Claw","43","Aug 26, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"An Ambush of Tigers","44","Sep 23, 2015","","Brenden Fletcher | Cameron Stewart | Bengal Amari","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Gang War","46","Dec 16, 2015","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Old Friends","48","Feb 03, 2016","","Brenden Fletcher | Cameron Stewart | Babs Tarr","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"Open Mind","50A","Apr 06, 2016","","Brenden Fletcher | Cameron Stewart | Roger Robinson","Babs Tarr Regular Cover","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"The Gladius Offensive, Part 1","51","Apr 27, 2016","","Brenden Fletcher | Roger Robinson | Eleonora Carlini","","0.0","DC Comics","Batgirl, Vol. 4","0","","","",""
"The Bat, The Cat, And The Owl","1","Oct 31, 2012","","Gail Simone | Admira Wijaya | Daniel Sampere","","0.0","DC Comics","Batgirl, Vol. 4 Annual","0","","","",""
"The Gladius Objective","3","Jul 29, 2015","","Brenden Fletcher | Cameron Stewart | Bengal Amari","","0.0","DC Comics","Batgirl, Vol. 4 Annual","0","","","",""
"Beyond Burnside, Part One","1B","Jul 27, 2016","","Hope Larson | Rafael Albuquerque","Variant Francis Manapul Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Beyond Burnside","2B","Aug 24, 2016","","","Variant Francis Manapul Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Beyond Burnside, Part Three","3A","Sep 28, 2016","","Hope Larson | Rafael Albuquerque","Regular Rafael Albuquerque Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Beyond Burnside","4B","Oct 26, 2016","","Hope Larson | Rafael Albuquerque","Variant Francis Manapul Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Beyond Burnside, Final","5A","Nov 23, 2016","","Hope Larson | Rafael Albuquerque","Regular Rafael Albuquerque Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Beyond Burnside, Epilogue","6A","Dec 28, 2016","","Hope Larson | Rafael Albuquerque","Regular Rafael Albuquerque Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Son of Penguin, Part One","7A","Jan 25, 2017","","Hope Larson | Christian Wildgoose","Regular Christian Wildgoose Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Son of Penguin, Part Two","8A","Feb 22, 2017","","Hope Larson | Christian Wildgoose | Jon Lam","Regular Chris Wildgoose Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Son of Penguin, Part Three","9A","Mar 22, 2017","","Hope Larson | Christian Wildgoose | Jon Lam","Regular Chris Wildgoose Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Son of Penguin, Part 4","10A","Apr 26, 2017","","Hope Larson | Christian Wildgoose | Jon Lam","Regular Chris Wildgoose Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Son of Penguin, Finale","11A","May 24, 2017","","Hope Larson | Christian Wildgoose | Jon Lam","Regular Chris Wildgoose Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Troubled Waters","12A","Jun 28, 2017","","Hope Larson | Eleonora Carlini","Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"The Truth About Bats and Dogs","13A","Jul 26, 2017","","Hope Larson | Inaki Miranda","Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Summer of Lies, Part One","14A","Aug 23, 2017","","Hope Larson | Christian Wildgoose | José Marzan Jr.","Dan Mora Regular Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Summer of Lies","15A","Sep 27, 2017","","Hope Larson | Christian Wildgoose | José Marzán, Jr.","Dan Mora Regular Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Summer of Lies, Part Three","16A","Oct 25, 2017","","Hope Larson | Christian Wildgoose | José Marzan Jr.","Regular Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Summer of Lies, Finale","17A","Nov 22, 2017","","Hope Larson | Christian Wildgoose | José Marzan Jr.","Dan Mora Regular Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Cold Snap, Part One","19A","Jan 24, 2018","","Hope Larson | Christian Wildgoose | José Marzan Jr.","Regular Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Cold Snap, Part Two","20A","Feb 28, 2018","","Hope Larson | Sami Basri","Regular Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Father Knows Best","21A","Mar 28, 2018","","Hope Larsen | Scott Godlewski","Regular Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Strange Loop, Part One","22A","Apr 25, 2018","","Hope Larson | Minkyu Jung | José Marzan Jr.","Regular Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Strange Loop, Part Two","23A","May 23, 2018","","Hope Larson | Minkyu Jung | José Marzan Jr.","Regular Dan Mora Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Art of the Crime, Part One","26A","Aug 29, 2018","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Sean Murphy Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Art of the Crime, Part Two","27A","Sep 26, 2018","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Sean Murphy Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Art of the Crime, Part Three","28A","Oct 24, 2018","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Julian Totino Tedesco Enhanced Foil Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Art of Crime, Finale","29A","Nov 28, 2018","","Mairghread Scott | Norm Rapmund | Paul Pelletier","Regular Sean Murphy Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Old Enemies, Part One","30A","Jan 02, 2019","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Paul Pelletier & Norm Rapmund Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Old Enemies, Part Two","31A","Jan 30, 2019","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Emanuela Lupacchino Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Terrible, Part Two","35A","May 22, 2019","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Francis Manapul Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Terrible, Finale","36A","Jul 03, 2019","","Mairghread Scott | Paul Pelletier | Norm Rapmund","Regular Francis Manapul Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Oracle Rising, Part Two","38A","Aug 28, 2019","","Cecil Castellucci | Carmine Di Giandomenico","Regular Carmine Di Giandomenico Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Oracle Rising, Part Four","40A","Oct 23, 2019","","Cecil Castellucci | Carmine Di Giandomenico","Regular Carmine Di Giandomenico Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Oracle Rising, Finale","42A","Jan 01, 2020","","Cecil Castellucci | Carmine Di Giandomenico","Regular Carmine Di Giandomenico Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Graveyard of Words and Bones, Part One","43A","Jan 22, 2020","","Cecil Castellucci | Cian Tormey","Regular Carmine Di Giandomenico Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Inner Light","45A","Mar 25, 2020","","Cecil Castellucci | Carmine Di Giandomenico","Regular Giuseppe Camuncoli & Cam Smith Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
"Joker War: Collateral Damage - Gordons Never Give Up, Part 1","48B","Sep 09, 2020","","Cecil Castellucci | Robbi Rodriguez","Variant Ian MacDonald Cover","0.0","DC Comics","Batgirl, Vol. 5","0","","","",""
